FID IID In_Regression PRS
081072Sm 5100266201 No -0.0039581
081073Sm 8110015801 No 0.0351223111
081095Sm 5500025201 No 0.0265567889
081097Sm 5100250101 No -0.0255029222
081130Sm 5100199801 No 0.0494483444
081153Sm 5100235101 No 0.0626160111
081170Sm 5100237501 No 0.0583801778
081182Sm 5100226001 No 0.0461642667
081198Sm 5100083701 No 0.0732109667
081228Sm 5100267501 No 0.0216966
081235Sm 6100022501 Yes 0.0737311222
081241Sm 2507000201 No 0.157482278
081266Sm 2508009701 No -0.0301231778
081307Sm 6100000602 No 0.0103892111
081321Sm 6100009802 No 0.00170578889
081341Sm 6100013901 No 0.0700048
081351Sm 8110021301 No 0.0605055111
081374Sm 2501000501 Yes 0.121261456
081459Sm 6100052901 Yes -0.0177315556
081464Sm 2507010601 No 0.0757423111
081476Sm 8120006602 No -0.0120058
081486Sm 1100211002 No 0.108252144
081501Sm 1100561302 No 0.0438983667
081511Sm 1100303301 No 0.154341133
081516Sm 2506001302 No 0.0594866444
081521Sm 1100190502 No 0.0189776333
081560Sm 5500000201 Yes 0.0825452889
081618Sm 6100036001 No 0.000331555556
081619Sm 6110018601 No 0.0375308111
081620Sm 6110044101 No 0.0345522
081621Sm 6120215301 No 0.0902840667
081627Sm 6100036101 Yes 0.0256606444
081628Sm 6110020901 No 0.00737001111
081629Sm 6110044401 No 0.0167590444
081630Sm 6120225501 No 0.0681367333
081637Sm 6100036401 No 0.112399311
081638Sm 6110024201 No 0.0675745778
081639Sm 6110046401 Yes 0.143413756
081640Sm 8110002301 No 0.0365984222
081643Sm 6100002405 No 0.0842349556
081646Sm 6100037001 No -0.0210527444
081647Sm 6120204702 No 0.0607963556
081648Sm 6110046801 No 0.106705622
081649Sm 8110006101 No -0.0020236
081655Sm 6100037401 Yes 0.0480410333
081656Sm 6110031801 No 0.120615878
081657Sm 6110047001 Yes 0.0858534
081658Sm 8110006401 No -0.00698598889
081664Sm 6110010101 No 0.0231057222
081665Sm 6110032301 No 0.0266251222
081666Sm 6120209201 No 0.0186407556
081667Sm 8110007001 Yes 0.0233833667
081668Sm 6100014104 No 0.000674622222
081669Sm 6100019504 No 0.00664334444
081674Sm 6110034401 No 0.0197826111
081675Sm 6120209701 No 0.0341914
081676Sm 8110007101 Yes 0.0871053111
081681Sm 1100552401 Yes -0.0328197667
081682Sm 6110016901 No -0.0496848444
081683Sm 6110039401 Yes 0.0867144222
081684Sm 6120209801 No 0.0438386556
081685Sm 8110008101 No -0.0166231667
081690Sm 6100035401 Yes 0.105036889
081691Sm 6110017501 Yes 0.0556642444
081692Sm 6110040601 No 0.0249932556
081693Sm 6120210001 Yes 0.0207209889
081694Sm 8110008201 No 0.00718757778
081695Sm 8110008301 No -0.0273266778
081696Sm 8110013701 No 0.00961081111
081697Sm 8110026501 No 0.0423806222
081698Sm 8110028601 No -0.00304957778
081699Sm 8110035501 No 0.0730236778
081704Sm 8110008601 Yes 0.0152068333
081705Sm 8110015201 Yes 0.0255169556
081706Sm 8110027301 Yes -0.0121644556
081707Sm 8110028901 No 0.0305847222
081708Sm 8110036401 No 0.0324535111
081713Sm 8110009001 No 0.016722
081714Sm 8110015401 No -0.00597588889
081715Sm 8110027601 No 0.0114324556
081716Sm 8110029601 No 0.0278740889
081717Sm 8110037101 No 0.0408323667
081722Sm 8110009201 No 0.0225181333
081723Sm 8110015501 No -0.0408449556
081724Sm 8110027901 Yes 0.0624418222
081725Sm 8110031801 No 0.0439332667
081732Sm 8110010101 No 0.00652183333
081733Sm 8110016001 Yes 0.0938621333
081734Sm 8110028101 No 0.00687932222
081735Sm 8110033901 No 0.0244066333
081741Sm 8110010801 No 0.0299458889
081742Sm 8110016101 No -0.0233984444
081743Sm 8110028201 No -0.0321375556
081744Sm 8110034501 Yes 0.0880584222
081745Sm 8110039301 No 0.175337433
081750Sm 8110011101 No 0.0213721444
081751Sm 8110016201 No 0.0323727667
081753Sm 8110034801 No 0.00396047778
081759Sm 8110012201 Yes 0.0199184889
081760Sm 8110025901 Yes -0.0252365333
081761Sm 8110028401 No 0.00941601111
081762Sm 8110034901 No -0.0416220333
081768Sm 8110012301 No 0.0582380667
081769Sm 8110026101 No 0.0276672333
081770Sm 8110028501 No 0.0003347
081771Sm 8110035001 No -0.00435711111
081778Sm 8110023401 No 0.141789244
081786Sm 8110020701 No -0.0147656444
081787Sm 8110023501 Yes 0.0278463222
081795Sm 8110021401 No 0.0544165889
081796Sm 8110023601 No -0.0342458556
081803Sm 8110021701 No 0.0250813556
081804Sm 8110023801 No 0.00750698889
081812Sm 8110022101 No 0.0103029778
081813Sm 8110024601 No 0.0035479
081819Sm 6110014801 No -0.00796634444
081821Sm 8110022501 Yes 0.0970448
081822Sm 8110024701 Yes 0.0173894667
081831Sm 8110022801 No 0.0879087444
081840Sm 8110022901 No 0.0731142889
081856Sm 8110011601 Yes 0.0242853778
081926Sm 1100184501 No 0.0475839111
082000Sm 8110014801 No 0.0830778778
082018Sm 8110006701 No 0.00113455556
082027Sm 5100273601 No 0.00943543333
082028Sm 8110007301 No 0.00833447778
082029Sm 8110012001 No 0.0784780889
082030Sm 8110014901 No 0.0410899222
082038Sm 8110012101 No 0.0135968333
082039Sm 8110015001 No 0.0316806
082045Sm 8110007801 No -0.0302180444
082046Sm 8110012501 No 0.0837576222
082047Sm 8110015101 Yes 0.030149
082053Sm 6100032801 Yes 0.0097735
082054Sm 8110007901 No 0.0454526444
082055Sm 8110013001 No 0.0411702444
082062Sm 6100033001 Yes 0.0886252111
082063Sm 8110010301 Yes -0.0436398222
082064Sm 8110013101 Yes -0.0175146444
082065Sm 8110032201 No -0.00730678889
082071Sm 8110000301 Yes 0.0371532333
082072Sm 8110010701 No 0.00373511111
082073Sm 8110013601 No -0.0173974111
082081Sm 8110010901 No 0.0653131444
082082Sm 8110014501 No 0.0469687778
082089Sm 8110001801 No 0.261151567
082090Sm 8110011301 No -0.0010879
082091Sm 8110014601 No -0.00352157778
082102Sm 8110024501 No -0.0377086222
082105Sm 6120221501 No 0.0170770778
082106Sm 6100036301 No -0.000880844444
082111Sm 8110025001 No -0.00107192222
082114Sm 6100035301 No 0.0323889667
082115Sm 6100036601 No 0.00880785556
082121Sm 8110024901 Yes 0.00312803333
082122Sm 8110036701 No 0.0840862889
082124Sm 6100035201 No -0.00215642222
082125Sm 6100036501 No -0.00253342222
082130Sm 8110025101 No -0.0322497444
082131Sm 8110034401 No 0.0219956778
082133Sm 6100032201 No -0.0204628778
082134Sm 6100036801 No -0.0227656222
082139Sm 8110026701 Yes 0.0343485667
082140Sm 8110036501 No 0.0475246889
082141Sm 8110040601 No 0.00339861111
082142Sm 6100035601 Yes 0.00250234444
082143Sm 6100036701 No 0.0478224
082151Sm 6100035801 No 0.00379518889
082152Sm 8110024401 No 0.00738887778
082156Sm 2510010201 No 0.193388611
082157Sm 8110036301 Yes 0.00865698889
082159Sm 6110036001 No 0.0707636444
082160Sm 6100034601 No -0.0168242111
082168Sm 6120223201 No 0.0456435111
082169Sm 6100035901 No 0.00825407778
082170Sm 1100586801 No 0.0249859444
082174Sm 8110025701 No -0.0328197667
082177Sm 6120219701 No 0.0511272222
082178Sm 6100036201 Yes 0.00681655556
082185Sm 6100050401 No 0.0255971889
082188Sm 8110017101 No -0.00156234444
082189Sm 8110025201 No -0.00472126667
082191Sm 1100295101 No 0.2552466
082193Sm 5500019302 No 0.0034335
082194Sm 6100050501 No 0.108405056
082196Sm 8110005301 No 0.0357587667
082197Sm 8110017201 No 0.0306478111
082198Sm 8110026401 No 0.0507573889
082204Sm 8120014901 No 0.0159907889
082205Sm 8110006001 No 0.0369593333
082206Sm 8110017301 No 0.0255355667
082207Sm 8110020301 No 0.0619307778
082211Sm 6100048701 No 0.0016022
082216Sm 8110017401 No -0.0103621222
082223Sm 2504003601 No -0.0351066
082224Sm 8110016401 No -0.0167129889
082225Sm 8110017701 Yes 0.0240506667
082233Sm 8110016601 Yes 0.0377347222
082234Sm 8110017801 No -0.0306589111
082239Sm 8120014501 No 0.0844610889
082241Sm 8110016701 No 0.0830411778
082242Sm 8110017901 No 0.074919
082248Sm 8120014601 No 0.0937477667
082250Sm 8110016901 No -0.0327270444
082251Sm 8110018001 No 0.0543331444
082259Sm 8110017001 No -0.0083533
082260Sm 8110018101 No 0.0374421556
082261Sm 8110018301 No 0.0142747556
082262Sm 8110001201 No 0.0496531889
082263Sm 8110005901 Yes 0.0182766222
082265Sm 8110020201 No 0.0119610889
082266Sm 8110022301 No 0.0277247222
082270Sm 8110018501 No 0.0568175111
082271Sm 8110001301 No 0.0543538778
082272Sm 8110006301 No 0.0285381556
082273Sm 5500015201 No 0.0316443444
082274Sm 8110020401 Yes -0.0115169556
082278Sm 5100003405 No 0.0676858222
082279Sm 8110018601 No 0.0220641444
082280Sm 8110001501 No 0.0623047444
082281Sm 8110009401 No 0.0268638444
082282Sm 8110019201 No 0.00980161111
082283Sm 8110020801 No 0.0156280889
082284Sm 8110022601 No -0.00880898889
082288Sm 8110018701 No 0.0626174222
082289Sm 8110002701 No -0.0039324
082290Sm 8110011701 No -0.0266152444
082291Sm 8110019301 No 0.0455210333
082292Sm 8110021101 Yes 0.0449448111
082293Sm 5500078701 No -0.031587
082297Sm 8110018801 No 0.0381307667
082298Sm 8110004101 Yes 0.0435586889
082299Sm 8110011901 No 0.0587539222
082300Sm 8110019401 No 0.0329879444
082301Sm 8110021201 No 0.0770802444
082306Sm 8110000101 No 0.0396099556
082307Sm 8110004201 No 0.0247487333
082308Sm 8110013901 No -0.000978244444
082309Sm 8110019701 Yes 0.0224048333
082314Sm 1100300405 No 0.0242448444
082316Sm 8110000401 No 0.0191151111
082318Sm 8110014101 No -0.0129528333
082320Sm 8110021501 No 0.0206602
082325Sm 8110000501 No -0.00936682222
082326Sm 8110007401 No 0.0314556444
082327Sm 8110018401 No -0.0180517333
082328Sm 8110019901 No -0.000713011111
082329Sm 8110021601 No -0.0411866444
082334Sm 8110000801 No 0.0500755667
082335Sm 8110005101 Yes 0.0056827
082336Sm 8110018901 No -0.0299940222
082338Sm 8110022201 Yes 0.0544431444
082345Sm 8110008901 No 0.00862055556
082346Sm 8110005701 Yes 0.0922374778
082347Sm 8110002101 Yes 0.0356532889
082348Sm 8110001901 Yes 0.00979712222
082349Sm 5100268604 No 0.00840914444
082351Sm 8120015801 No 0.0436171667
082354Sm 8110006901 No -0.000606322222
082355Sm 8110004701 Yes 0.00292301111
082357Sm 8110001601 No 0.0346042111
082360Sm 8120015601 No 0.0652657778
082363Sm 8110009101 No -0.0090204
082364Sm 8110004501 No 0.0306482444
082365Sm 8110004401 No -0.00147542222
082366Sm 8110001401 No 0.0417446889
082369Sm 8120016001 No 0.0567548111
082372Sm 8110008401 No -0.00705865556
082373Sm 8110006201 Yes 0.0120223333
082374Sm 8110004001 Yes 0.0220830889
082381Sm 8110008801 No 0.0359167222
082382Sm 8110006501 No 0.0101939556
082383Sm 8110003501 No 0.0771356556
082387Sm 6100041302 No 0.0172582778
082390Sm 8110009601 No 0.0166514556
082391Sm 8110006801 No -0.0147149333
082392Sm 8110002901 No 0.0262839444
082395Sm 5500062001 Yes 0.0384112667
082396Sm 6120218201 No 0.0456018778
082398Sm 6100025801 No 0.0406244778
082399Sm 8110009501 No 0.0105722889
082400Sm 8110003101 Yes 0.0760970333
082401Sm 8110002801 No 0.110121667
082403Sm 5100266004 No 0.0618927444
082405Sm 6120230901 No 0.00967236667
082409Sm 8110004801 No 0.102051011
082410Sm 8110003901 No 0.0250990667
